"","Serial","Time","Username","Observer","Tree.ID","Date","Julian","Season","Species","Latitude","Longitude","Urbanization","Habitat","Shading","Circumference","LeafColor","LeafDropping","Fruit","LeafBud","LeafUnfurled","Flowering","Damage","Comments","UniqueID","LongLat"
"11",11,"09/19/2013 - 11:36am",NA,NA,NA,2013-09-19,262,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"None","low branch","NA_NA__NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA",NA
"12",12,"09/19/2013 - 4:16pm",NA,NA,NA,2013-09-19,262,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Late:  Most or all fruits or seeds have been dispersed from tree (over 90%)",NA,NA,NA,"Tree appears to be in good health.  There are early signs of some rot in the trunk.",NA,"NA_NA__NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA",NA
"13",13,"09/19/2013 - 4:26pm",NA,NA,NA,2013-09-19,262,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year",NA,NA,NA,NA,NA,"NA_NA__NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA",NA
"14",14,"09/20/2013 - 10:03am",NA,NA,NA,2013-09-20,263,"Fall",NA,NA,NA,"Yes","Home lawn","Open (more than 5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"none",NA,"NA_NA__NA_NA_NA_Yes_Home lawn_Open (more than 5hr per day of direct sun)_NA",NA
"15",15,"09/20/2013 - 10:19am",NA,NA,NA,2013-09-20,263,"Fall",NA,NA,NA,"Yes","School garden","Open (more than 5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"N/A",NA,"NA_NA__NA_NA_NA_Yes_School garden_Open (more than 5hr per day of direct sun)_NA",NA
"16",16,"09/21/2013 - 3:00pm",NA,NA,NA,2013-09-21,264,"Fall",NA,NA,NA,"Yes","School garden","Open (more than 5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"None.","lower branch","NA_NA__NA_NA_NA_Yes_School garden_Open (more than 5hr per day of direct sun)_NA",NA
"17",17,"11/11/2013 - 1:44pm",NA,NA,NA,2013-11-11,315,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year",NA,NA,NA,NA,NA,"NA_NA__NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA",NA
"18",18,"09/20/2013 - 9:02am",NA,NA,NA,2013-09-20,263,"Fall",NA,NA,NA,"Yes","School paved area","Open (more than 5hr per day of direct sun)",NA,"Middle: Many leaves have turned color","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"None",NA,"NA_NA__NA_NA_NA_Yes_School paved area_Open (more than 5hr per day of direct sun)_NA",NA
"19",19,"09/20/2013 - 2:45pm",NA,NA,NA,2013-09-20,263,"Fall",NA,NA,NA,"Yes","Home lawn","Partially Shaded (2-5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"Some crotch splitting and many woodpecker holes in a couple of main branches. Several branches cut due to powerlines. Most all limbs still seem viable.","Mystery tree on it.","NA_NA__NA_NA_NA_Yes_Home lawn_Partially Shaded (2-5hr per day of direct sun)_NA",NA
"20",20,"09/21/2013 - 12:47pm",NA,NA,NA,2013-09-21,264,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,"Middle: Many leaves have turned color","Early:  Only a few leaves have dropped (less than 10%)","Late:  Most or all fruits or seeds have been dispersed from tree (over 90%)",NA,NA,NA,"None.",NA,"NA_NA__NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA",NA
"21",21,"09/23/2013 - 12:17pm",NA,NA,NA,2013-09-23,266,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,"Middle: Many leaves have turned color","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"Some of the branches are in direct contact with a power line.",NA,"NA_NA__NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA",NA
"22",22,"09/23/2013 - 12:56pm",NA,NA,NA,2013-09-23,266,"Fall",NA,NA,NA,"Yes","Home lawn","Open (more than 5hr per day of direct sun)",NA,"Middle: Many leaves have turned color","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year",NA,NA,NA,"seems to have spots on the leaves",NA,"NA_NA__NA_NA_NA_Yes_Home lawn_Open (more than 5hr per day of direct sun)_NA",NA
"23",23,"09/23/2013 - 11:58am",NA,NA,NA,2013-09-23,266,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,"Late:  Most or all leaves have turned color (more than 90%)","Late:  Most or all leaves have fallen (over 90%)","Late:  Most or all fruits or seeds have been dispersed from tree (over 90%)",NA,NA,NA,"Missing limbs, but they look like they've been trimmed off. Therefore, it's uncertain if they were removed because of disease or for aesthetic and/or safety purposes.",NA,"NA_NA__NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA",NA
"24",24,"09/23/2013 - 1:10am",NA,NA,NA,2013-09-23,266,"Fall",NA,NA,NA,"Yes","School paved area","Open (more than 5hr per day of direct sun)",NA,"Middle: Many leaves have turned color","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year",NA,NA,NA,"N/A",NA,"NA_NA__NA_NA_NA_Yes_School paved area_Open (more than 5hr per day of direct sun)_NA",NA
"25",25,"09/23/2013 - 8:45am",NA,NA,NA,2013-09-23,266,"Fall",NA,NA,NA,"Yes","School paved area","Open (more than 5hr per day of direct sun)",NA,"Late:  Most or all leaves have turned color (more than 90%)","Late:  Most or all leaves have fallen (over 90%)","None:  Tree is not fruiting this year",NA,NA,NA,"Small amount of lichen on trunk.",NA,"NA_NA__NA_NA_NA_Yes_School paved area_Open (more than 5hr per day of direct sun)_NA",NA
"26",26,"09/23/2013 - 12:52pm",NA,NA,NA,2013-09-23,266,"Fall",NA,NA,NA,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",NA,"Middle: Many leaves have turned color","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year",NA,NA,NA,NA,NA,"NA_NA__NA_NA_NA_Yes_School lawn_Partially Shaded (2-5hr per day of direct sun)_NA",NA
"27",27,"09/23/2013 - 11:34am",NA,NA,NA,2013-09-23,266,"Fall",NA,NA,NA,"Yes","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Shaded (less than 2hr per day of direct sun)",NA,"Late:  Most or all leaves have turned color (more than 90%)","Late:  Most or all leaves have fallen (over 90%)","None:  Tree is not fruiting this year",NA,NA,NA,"The tree is healthy, though there are no close branches to the ground.",NA,"NA_NA__NA_NA_NA_Yes_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Shaded (less than 2hr per day of direct sun)_NA",NA
"28",28,"09/24/2014 - 8:37am",NA,NA,NA,2014-09-24,267,"Fall","Sugar Maple",NA,NA,"No","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Partially Shaded (2-5hr per day of direct sun)",NA,"Middle: Many leaves have turned color","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year",NA,NA,NA,NA,NA,"NA_NA__Sugar Maple_NA_NA_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_NA",NA
"29",29,"09/27/2013 - 1:59pm",NA,NA,NA,2013-09-27,270,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year",NA,NA,NA,"no apparent damage",NA,"NA_NA__NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA",NA
"30",30,"09/28/2013 - 5:19pm",NA,NA,NA,2013-09-28,271,"Fall",NA,NA,NA,"Yes","Home lawn","Open (more than 5hr per day of direct sun)",NA,"Middle: Many leaves have turned color","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year",NA,NA,NA,NA,NA,"NA_NA__NA_NA_NA_Yes_Home lawn_Open (more than 5hr per day of direct sun)_NA",NA
"31",31,"10/08/2013 - 10:37pm",NA,NA,NA,2013-10-08,281,"Fall",NA,NA,NA,"Yes","School paved area","Partially Shaded (2-5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,"none",NA,"NA_NA__NA_NA_NA_Yes_School paved area_Partially Shaded (2-5hr per day of direct sun)_NA",NA
"32",32,"10/01/2013 - 1:14pm",NA,NA,NA,2013-10-01,274,"Fall",NA,NA,NA,"Yes","School paved area","Open (more than 5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Middle:  Many fruits are ripe",NA,NA,NA,"some lichen on trunk. noticed one area of tree trunk with bark missing and small hole/damage.",NA,"NA_NA__NA_NA_NA_Yes_School paved area_Open (more than 5hr per day of direct sun)_NA",NA
"33",33,"10/01/2013 - 2:26pm",NA,NA,NA,2013-10-01,274,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Middle:  Many fruits are ripe",NA,NA,NA,"Missing limbs, but they look like they've been trimmed off. Therefore, it's uncertain if they were removed because of disease or for aesthetic and/or safety purposes.",NA,"NA_NA__NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA",NA
"34",34,"11/11/2013 - 1:47pm",NA,NA,NA,2013-11-11,315,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,"Middle: Many leaves have turned color","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,NA,NA,"NA_NA__NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA",NA
"35",35,"10/02/2013 - 10:04am",NA,NA,NA,2013-10-02,275,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Middle:  Many fruits are ripe",NA,NA,NA,"none","Jake is so cool!

","NA_NA__NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA",NA
"36",36,"10/06/2013 - 5:45pm",NA,NA,NA,2013-10-06,279,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Middle:  Many fruits are ripe",NA,NA,NA,"Nest to telephone wire/pole.",NA,"NA_NA__NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA",NA
"37",37,"10/03/2013 - 6:56pm",NA,NA,NA,2013-10-03,276,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Middle:  Many fruits are ripe",NA,NA,NA,"none observed",NA,"NA_NA__NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA",NA
"38",38,"10/07/2013 - 10:15am",NA,NA,NA,2013-10-07,280,"Fall",NA,NA,NA,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Middle:  Many fruits are ripe",NA,NA,NA,"None",NA,"NA_NA__NA_NA_NA_Yes_School lawn_Partially Shaded (2-5hr per day of direct sun)_NA",NA
"39",39,"10/07/2013 - 4:23pm",NA,NA,NA,2013-10-07,280,"Fall",NA,NA,NA,"Yes","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Shaded (less than 2hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Late:  Most or all fruits or seeds have been dispersed from tree (over 90%)",NA,NA,NA,"No disease or damage.",NA,"NA_NA__NA_NA_NA_Yes_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Shaded (less than 2hr per day of direct sun)_NA",NA
"40",40,"10/21/2013 - 8:19am",NA,NA,NA,2013-10-21,294,"Fall",NA,NA,NA,"Yes","Home lawn","Open (more than 5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Middle:  Many leaves have dropped","Late:  Most or all fruits or seeds have been dispersed from tree (over 90%)",NA,NA,NA,NA,NA,"NA_NA__NA_NA_NA_Yes_Home lawn_Open (more than 5hr per day of direct sun)_NA",NA
"41",41,"10/08/2013 - 7:34am",NA,NA,NA,2013-10-08,281,"Fall",NA,NA,NA,"Yes","Home lawn","Partially Shaded (2-5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year",NA,NA,NA,NA,NA,"NA_NA__NA_NA_NA_Yes_Home lawn_Partially Shaded (2-5hr per day of direct sun)_NA",NA
"42",42,"11/06/2013 - 6:46pm",NA,NA,NA,2013-11-06,310,"Fall",NA,NA,NA,"Yes","Home lawn","Partially Shaded (2-5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)",NA,NA,NA,"There are a lot of spots,especially dark shaded spots all along the left hand side of the tree.","Jake is so cool!!!!!!","NA_NA__NA_NA_NA_Yes_Home lawn_Partially Shaded (2-5hr per day of direct sun)_NA",NA
"43",43,"10/15/2013 - 11:21pm",NA,NA,NA,2013-10-15,288,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)",NA,NA,NA,"None.","Jake is so cool!!!!!!","NA_NA__NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA",NA
"44",44,"10/08/2013 - 9:17am",NA,NA,NA,2013-10-08,281,"Fall",NA,NA,NA,"Yes","School paved area","Open (more than 5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)",NA,NA,NA,"Some lichen on trunk. Small hole near base of trunk with missing bark.","Jake is so cool!!!!!!","NA_NA__NA_NA_NA_Yes_School paved area_Open (more than 5hr per day of direct sun)_NA",NA
"45",45,"10/09/2013 - 10:03am",NA,NA,NA,2013-10-09,282,"Fall",NA,NA,NA,"Yes","Home lawn","Open (more than 5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)",NA,NA,NA,"There is some disease along the trunk and there is a large hole from rot halfway up one of the split trunks. There are also a few places where branches have been cut or have broken off","Jake is so cool!!!!!!","NA_NA__NA_NA_NA_Yes_Home lawn_Open (more than 5hr per day of direct sun)_NA",NA
"46",46,"09/17/2013 - 3:11pm",NA,NA,NA,2013-09-17,260,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)",NA,NA,NA,"None","Jake is so cool!!!!!!","NA_NA__NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA",NA
"47",47,"10/23/2013 - 10:08am",NA,NA,NA,2013-10-23,296,"Fall",NA,NA,NA,"Yes","Home lawn","Partially Shaded (2-5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)",NA,NA,NA,"No visible damages.","Jake is so cool!!!!!!","NA_NA__NA_NA_NA_Yes_Home lawn_Partially Shaded (2-5hr per day of direct sun)_NA",NA
"48",48,"10/13/2013 - 10:57am",NA,NA,NA,2013-10-13,286,"Fall",NA,NA,NA,"Yes","School paved area","Open (more than 5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)",NA,NA,NA,"None visible.","Jake is so cool!!!!!!","NA_NA__NA_NA_NA_Yes_School paved area_Open (more than 5hr per day of direct sun)_NA",NA
"49",49,"10/13/2013 - 2:13pm",NA,NA,NA,2013-10-13,286,"Fall",NA,NA,NA,"Yes","Home lawn","Partially Shaded (2-5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)",NA,NA,NA,NA,"Jake is so cool!!!!!!","NA_NA__NA_NA_NA_Yes_Home lawn_Partially Shaded (2-5hr per day of direct sun)_NA",NA
"50",50,"10/21/2013 - 8:24am",NA,NA,NA,2013-10-21,294,"Fall",NA,NA,NA,"Yes","Home lawn","Open (more than 5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)",NA,NA,NA,NA,"Jake is so cool!!!!!!","NA_NA__NA_NA_NA_Yes_Home lawn_Open (more than 5hr per day of direct sun)_NA",NA
"51",51,"10/14/2013 - 1:46pm",NA,NA,NA,2013-10-14,287,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)",NA,NA,NA,"no apparent damage","Jake is so cool!!!!!!","NA_NA__NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA",NA
"52",52,"10/27/2013 - 1:03pm",NA,NA,NA,2013-10-27,300,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)",NA,NA,NA,"There are some missing limbs - appears that they were cut of (by the university?). A slight ""split"" in the trunk. It's external, and appears healed (maybe?).","Jake is so cool!!!!!!","NA_NA__NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA",NA
"53",53,"10/15/2013 - 12:47pm",NA,NA,NA,2013-10-15,288,"Fall",NA,NA,NA,"Yes","School paved area","Open (more than 5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)",NA,NA,NA,"some lichen on trunk. near bottom of trunk is a small hole and the bark surrounding is missing.","Jake is so cool!!!!!!","NA_NA__NA_NA_NA_Yes_School paved area_Open (more than 5hr per day of direct sun)_NA",NA
"54",54,"10/15/2013 - 7:15pm",NA,NA,NA,2013-10-15,288,"Fall",NA,NA,NA,"Yes","School garden","Open (more than 5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)",NA,NA,NA,"Nothing new.","Jake is so cool!!!!!!","NA_NA__NA_NA_NA_Yes_School garden_Open (more than 5hr per day of direct sun)_NA",NA
"55",55,"10/15/2013 - 8:19pm",NA,NA,NA,2013-10-15,288,"Fall",NA,NA,NA,"No","School lawn","Partially Shaded (2-5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)",NA,NA,NA,NA,"Jake is so cool!!!!!!","NA_NA__NA_NA_NA_No_School lawn_Partially Shaded (2-5hr per day of direct sun)_NA",NA
"56",56,"10/16/2013 - 9:01am",NA,NA,NA,2013-10-16,289,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)",NA,NA,NA,"Tree appears to be in good health. There are early signs of some rot in the trunk.","Jake is so cool!!!!!!","NA_NA__NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA",NA
"57",57,"10/21/2013 - 12:56pm",NA,NA,NA,2013-10-21,294,"Fall",NA,NA,NA,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)",NA,NA,NA,NA,"Jake is so cool!!!!!!","NA_NA__NA_NA_NA_Yes_School lawn_Partially Shaded (2-5hr per day of direct sun)_NA",NA
"58",58,"10/27/2013 - 1:09pm",NA,NA,NA,2013-10-27,300,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,"Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","Early:  Only a few ripe fruits are visible (less than 10%)",NA,NA,NA,"There are some missing limbs - appears that they were cut of (by the university?). A slight ""split"" in the trunk. It's external, and appears healed (maybe?).","Jake is so cool!!!!!!","NA_NA__NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA",NA
