Serial,Time,Username,Observer,Tree ID,Date,Date,Julian,Season,Species,Latitude,Longitude,Urbanization,Habitat,Shading,Circumference,LeafColor,LeafDropping,Fruit,LeafBud,LeafUnfurled,Flowering,Damage,Comments
,09/23/2013 - 8:45am,,,,9/23/13,9/23/13,,Fall,,,,Yes,School paved area,Open (more than 5hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,Small amount of lichen on trunk.,
,09/23/2013 - 12:52pm,,,,9/23/13,9/23/13,,Fall,,,,Yes,School lawn,Partially Shaded (2-5hr per day of direct sun),,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,,
,09/23/2013 - 11:34am,,,,9/23/13,9/23/13,,Fall,,,,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,"The tree is healthy, though there are no close branches to the ground.",
,09/24/2014 - 8:37am,,,,9/24/14,9/24/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,,
,09/27/2013 - 1:59pm,,,,9/27/13,9/27/13,,Fall,,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,no apparent damage,
,09/28/2013 - 5:19pm,,,,9/28/13,9/28/13,,Fall,,,,Yes,Home lawn,Open (more than 5hr per day of direct sun),,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,,
,10/08/2013 - 10:37pm,,,,10/8/13,10/8/13,,Fall,,,,Yes,School paved area,Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,none,
,10/01/2013 - 1:14pm,,,,10/1/13,10/1/13,,Fall,,,,Yes,School paved area,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Middle:  Many fruits are ripe,,,,some lichen on trunk. noticed one area of tree trunk with bark missing and small hole/damage.,
,10/01/2013 - 2:26pm,,,,10/1/13,10/1/13,,Fall,,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Middle:  Many fruits are ripe,,,,"Missing limbs, but they look like they've been trimmed off. Therefore, it's uncertain if they were removed because of disease or for aesthetic and/or safety purposes.",
,11/11/2013 - 1:47pm,,,,11/11/13,11/11/13,,Fall,,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
,10/02/2013 - 10:04am,,,,10/2/13,10/2/13,,Fall,,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Middle:  Many fruits are ripe,,,,none,"Jake is so cool!

"
,10/06/2013 - 5:45pm,,,,10/6/13,10/6/13,,Fall,,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Middle:  Many fruits are ripe,,,,Nest to telephone wire/pole. ,
,10/03/2013 - 6:56pm,,,,10/3/13,10/3/13,,Fall,,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Middle:  Many fruits are ripe,,,,none observed,
,10/07/2013 - 10:15am,,,,10/7/13,10/7/13,,Fall,,,,Yes,School lawn,Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Middle:  Many fruits are ripe,,,,None,
,10/07/2013 - 4:23pm,,,,10/7/13,10/7/13,,Fall,,,,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Late:  Most or all fruits or seeds have been dispersed from tree (over 90%),,,,No disease or damage.,
,10/21/2013 - 8:19am,,,,10/21/13,10/21/13,,Fall,,,,Yes,Home lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Middle:  Many leaves have dropped,Late:  Most or all fruits or seeds have been dispersed from tree (over 90%),,,,,
,10/08/2013 - 7:34am,,,,10/8/13,10/8/13,,Fall,,,,Yes,Home lawn,Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
,11/06/2013 - 6:46pm,,,,11/6/13,11/6/13,,Fall,,,,Yes,Home lawn,Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,"There are a lot of spots,especially dark shaded spots all along the left hand side of the tree. ",Jake is so cool!!!!!!
,10/15/2013 - 11:21pm,,,,10/15/13,10/15/13,,Fall,,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,None.,Jake is so cool!!!!!!
,10/08/2013 - 9:17am,,,,10/8/13,10/8/13,,Fall,,,,Yes,School paved area,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,Some lichen on trunk. Small hole near base of trunk with missing bark. ,Jake is so cool!!!!!!
,10/09/2013 - 10:03am,,,,10/9/13,10/9/13,,Fall,,,,Yes,Home lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,There is some disease along the trunk and there is a large hole from rot halfway up one of the split trunks. There are also a few places where branches have been cut or have broken off,Jake is so cool!!!!!!
,09/17/2013 - 3:11pm,,,,9/17/13,9/17/13,,Fall,,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,None,Jake is so cool!!!!!!
,10/23/2013 - 10:08am,,,,10/23/13,10/23/13,,Fall,,,,Yes,Home lawn,Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,No visible damages.,Jake is so cool!!!!!!
,10/13/2013 - 10:57am,,,,10/13/13,10/13/13,,Fall,,,,Yes,School paved area,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,None visible.,Jake is so cool!!!!!!
,10/13/2013 - 2:13pm,,,,10/13/13,10/13/13,,Fall,,,,Yes,Home lawn,Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,,Jake is so cool!!!!!!
,10/21/2013 - 8:24am,,,,10/21/13,10/21/13,,Fall,,,,Yes,Home lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,,Jake is so cool!!!!!!
,10/14/2013 - 1:46pm,,,,10/14/13,10/14/13,,Fall,,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,no apparent damage,Jake is so cool!!!!!!
,10/27/2013 - 1:03pm,,,,10/27/13,10/27/13,,Fall,,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,"There are some missing limbs - appears that they were cut of (by the university?). A slight ""split"" in the trunk. It's external, and appears healed (maybe?). ",Jake is so cool!!!!!!
,10/15/2013 - 12:47pm,,,,10/15/13,10/15/13,,Fall,,,,Yes,School paved area,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,some lichen on trunk. near bottom of trunk is a small hole and the bark surrounding is missing.,Jake is so cool!!!!!!
,10/15/2013 - 7:15pm,,,,10/15/13,10/15/13,,Fall,,,,Yes,School garden,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,Nothing new.,Jake is so cool!!!!!!
,10/15/2013 - 8:19pm,,,,10/15/13,10/15/13,,Fall,,,,No,School lawn,Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,,Jake is so cool!!!!!!
,10/16/2013 - 9:01am,,,,10/16/13,10/16/13,,Fall,,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,Tree appears to be in good health. There are early signs of some rot in the trunk.,Jake is so cool!!!!!!
,10/21/2013 - 12:56pm,,,,10/21/13,10/21/13,,Fall,,,,Yes,School lawn,Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,,Jake is so cool!!!!!!
,10/27/2013 - 1:09pm,,,,10/27/13,10/27/13,,Fall,,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,"There are some missing limbs - appears that they were cut of (by the university?). A slight ""split"" in the trunk. It's external, and appears healed (maybe?). ",Jake is so cool!!!!!!
,10/21/2013 - 8:27am,,,,10/21/13,10/21/13,,Fall,,,,Yes,Home lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,,Jake is so cool!!!!!!
,10/21/2013 - 8:36pm,,,,10/21/13,10/21/13,,Fall,,,,Yes,School paved area,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,Nothing new.,Jake is so cool!!!!!!
,10/22/2013 - 9:02am,,,,10/22/13,10/22/13,,Fall,,,,Yes,School paved area,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,some lichen on bark. small hole near base of trunk with bark missing.,Jake is so cool!!!!!!
,10/22/2013 - 7:10pm,,,,10/22/13,10/22/13,,Fall,,,,Yes,Home lawn,Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,,Jake is so cool!!!!!!
,10/23/2013 - 10:10am,,,,10/23/13,10/23/13,,Fall,,,,Yes,Home lawn,Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,No visible damages,Jake is so cool!!!!!!
,10/24/2013 - 11:00am,,,,10/24/13,10/24/13,,Fall,,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,no apparent damage,Jake is so cool!!!!!!
,12/02/2013 - 9:58am,,,,12/2/13,12/2/13,,Fall,,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,None.,Jake is so cool!!!!!!
,10/10/2014 - 12:59pm,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,few damage lost branches,Jake is so cool!!!!!!
,09/03/2014 - 11:54am,,,,9/3/14,9/3/14,,Fall,Sugar Maple,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,none ,Jake is so cool!!!!!!
,09/03/2014 - 11:55am,,,,9/3/14,9/3/14,,Fall,Sugar Maple,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,,Jake is so cool!!!!!!
,09/03/2014 - 11:57am,,,,9/3/14,9/3/14,,Fall,Sugar Maple,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,"For the most part, the tree is very healthy! However, there is a slight decrease in foliage at the very top. And it's turning slightly yellow at the top. ",Jake is so cool!!!!!!
,09/03/2014 - 11:59am,,,,9/3/14,9/3/14,,Fall,Sugar Maple,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,,Jake is so cool!!!!!!
,09/03/2014 - 11:59am,,,,9/3/14,9/3/14,,Fall,Sugar Maple,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,,Jake is so cool!!!!!!
,09/03/2014 - 12:00pm,,,,9/3/14,9/3/14,,Fall,Sugar Maple,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,No,Jake is so cool!!!!!!
,09/03/2014 - 12:15pm,,,,9/3/14,9/3/14,,Fall,Sugar Maple,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,"Some leaves at the top are falling/turning, a few small branches are bare",Jake is so cool!!!!!!
,09/03/2014 - 11:52am,,,,9/3/14,9/3/14,,Fall,Sugar Maple,,,Yes,School garden,Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,,Jake is so cool!!!!!!
,09/03/2014 - 11:53am,,,,9/3/14,9/3/14,,Fall,Sugar Maple,,,Yes,School lawn,Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,None ,Jake is so cool!!!!!!
,09/03/2014 - 11:53am,,,,9/3/14,9/3/14,,Fall,Sugar Maple,,,Yes,School lawn,Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,None ,Jake is so cool!!!!!!
,09/03/2014 - 11:54am,,,,9/3/14,9/3/14,,Fall,Sugar Maple,,,Yes,School lawn,Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,None! ,Jake is so cool!!!!!!
,09/03/2014 - 11:54am,,,,9/3/14,9/3/14,,Fall,Sugar Maple,,,Yes,School lawn,Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,Not too much damage done to the tree - looks fairly healthy,Jake is so cool!!!!!!
,10/23/2014 - 2:30pm,,,,10/23/14,10/23/14,,Fall,Norway Maple,,,Yes,Home lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,One major limb broken in windstorm.  ,Jake is so cool!!!!!!
,09/11/2014 - 11:49am,,,,9/11/14,9/11/14,,Fall,Sugar Maple,,,Yes,Home lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,,Jake is so cool!!!!!!
,09/11/2014 - 10:25am,,,,9/11/14,9/11/14,,Fall,Silver Maple,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,,Jake is so cool!!!!!!
,09/11/2014 - 2:25pm,,,,9/11/14,9/11/14,,Fall,Silver Maple,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,Cracks at base of tree.,Jake is so cool!!!!!!
,09/15/2014 - 10:00am,,,,9/15/14,9/15/14,,Fall,Silver Maple,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,,Jake is so cool!!!!!!
,09/15/2014 - 10:00am,,,,9/15/14,9/15/14,,Fall,Silver Maple,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,,Jake is so cool!!!!!!
,09/15/2014 - 10:39am,,,,9/15/14,9/15/14,,Fall,Silver Maple,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,No DAMAGE,Jake is so cool!!!!!!
,09/15/2014 - 9:59am,,,,9/15/14,9/15/14,,Fall,Silver Maple,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,None.,Jake is so cool!!!!!!
,09/11/2014 - 10:24am,,,,9/11/14,9/11/14,,Fall,Red Maple,,,Yes,School paved area,Open (more than 5hr per day of direct sun),,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,Early:  Only a few ripe fruits are visible (less than 10%),,,,None,Jake is so cool!
