,Serial,Time,Username,Observer,Tree ID,Date,Julian,Season,Species,Latitude,Longitude,Urbanization,Habitat,Shading,Circumference,LeafColor,LeafDropping,Fruit,LeafBud,LeafUnfurled,Flowering,Damage,Comments,UniqueID,TreeCode,Obs
1476,1476,NA,NA,Jack Greene,NA,9/25/17,268,Fall,Sugar Maple,NA,NA,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),NA,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Late:  Most or all fruits or seeds have been dispersed from tree (over 90%),NA,NA,NA,few lumps on trunk,NA,"Jack Greene_NA_Sugar Maple_NA_NA_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_NA",4,2
1477,1477,NA,NA,Jack Greene,NA,10/9/17,282,Fall,Sugar Maple,NA,NA,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),NA,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),Late:  Most or all fruits or seeds have been dispersed from tree (over 90%),NA,NA,NA,few lumps on trunk,NA,"Jack Greene_NA_Sugar Maple_NA_NA_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_NA",4,3
1478,1478,NA,NA,Jack Greene,NA,10/23/17,296,Fall,Sugar Maple,NA,NA,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),NA,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,Late:  Most or all fruits or seeds have been dispersed from tree (over 90%),NA,NA,NA,few lumps on trunk,NA,"Jack Greene_NA_Sugar Maple_NA_NA_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_NA",4,4
1195,1195,09/30/2016 - 8:34am,NA,NA,1,9/30/16,274,Fall,Sugar Maple,44.610793,-75.170487,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),25,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,NA,NA,NA,none,NA,"NA_1_Sugar Maple_44.610793_-75.170487_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_25",5,2
1019,1019,09/21/2016 - 8:40am,NA,NA,1,9/21/16,265,Fall,Sugar Maple,44.611187,-75.169034,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),25,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,NA,NA,NA,none,NA,"NA_1_Sugar Maple_44.611187_-75.169034_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_25",5,
920,920,10/28/2015 - 8:34am,NA,NA,1,10/28/15,301,Fall,Sugar Maple,44.611187,-75.169034,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),33,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,NA,NA,NA,"broken branches, rotting branches, moss at bottom","tree splits has two trunks

Tree 1 has a circumference of 11

Tree 2 has a circumference of 10



","NA_1_Sugar Maple_44.611187_-75.169034_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_33",5,
1869,1869,04/21/2016 - 8:41am,canton 10 gbbb,NA,1,4/21/16,112,Spring,Sugar Maple,44.611187,-75.169034,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),33,NA,NA,NA,no,no,no,canton 10 gbbb,no,"NA_1_Sugar Maple_44.611187_-75.169034_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_33",5,
1955,1955,05/05/2016 - 8:34am,canton 1 gbbb,NA,1,5/5/16,126,Spring,Sugar Maple,44.611187,-75.169034,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),34.5,NA,NA,NA,no,no,no,canton 1 gbbb,no,"NA_1_Sugar Maple_44.611187_-75.169034_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_34.5",5,
874,874,10/19/2015 - 8:38am,NA,NA,1,10/19/15,292,Fall,Sugar Maple,44.611187,-75.169034,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),33,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,NA,NA,NA,broken branches/moss at bottom,NA,"NA_1_Sugar Maple_44.611187_-75.169034_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Shaded (less than 2hr per day of direct sun)_33",5,
991,991,11/06/2015 - 8:39am,NA,NA,1,11/6/15,310,Fall,Sugar Maple,44.611187,-75.169034,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),33,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,NA,NA,NA,"Broken branches, moss at bottom",NA,"NA_1_Sugar Maple_44.611187_-75.169034_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Shaded (less than 2hr per day of direct sun)_33",5,
2016,2016,05/13/2016 - 8:31am,canton1gbbb,NA,1,5/13/16,134,Spring,Sugar Maple,44.611187,-80.169034,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),33,NA,NA,NA,yes,yes,no,canton1gbbb,no,"NA_1_Sugar Maple_44.611187_-80.169034_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Shaded (less than 2hr per day of direct sun)_33",5,
1870,1870,04/21/2016 - 8:41am,canton6ms,NA,1,4/21/16,112,Spring,Sugar Maple,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),48,NA,NA,NA,no,no,no,canton6ms,Yes there is no damage,"NA_1_Sugar Maple_44.61138_-75.169582_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Open (more than 5hr per day of direct sun)_48",5,
718,718,10/02/2015 - 8:37am,NA,NA,1,10/2/15,275,Fall,Sugar Maple,44.61187,-75.169034,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),33,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,NA,NA,NA,Broken branches,NA,"NA_1_Sugar Maple_44.61187_-75.169034_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Shaded (less than 2hr per day of direct sun)_33",5,1
2062,2062,05/23/2016 - 8:31am,canton 1 gbbb,NA,1,5/23/16,144,Spring,Sugar Maple,44.61187,-75.169034,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),34.5,NA,NA,NA,yes,yes,no,canton 1 gbbb,NA,"NA_1_Sugar Maple_44.61187_-75.169034_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Shaded (less than 2hr per day of direct sun)_34.5",5,
1083,1083,09/21/2016 - 8:22am,NA,NA,1,9/21/16,265,Fall,Sugar Maple,44.824019,-74.516411,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),46,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,NA,NA,NA,none,NA,"NA_1_Sugar Maple_44.824019_-74.516411_Yes_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Open (more than 5hr per day of direct sun)_46",6,
1022,1022,09/21/2016 - 2:28pm,NA,NA,10,9/21/16,265,Fall,Sugar Maple,44.606267,-75.167331,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),37,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,NA,NA,NA,"Holes in the leaves, most likely from insects.",NA,"NA_10_Sugar Maple_44.606267_-75.167331_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_37",7,
1198,1198,09/30/2016 - 2:23pm,NA,NA,10,9/30/16,274,Fall,Sugar Maple,44.606267,-75.167331,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),37,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,NA,NA,NA,There are holes in this trees leaves,NA,"NA_10_Sugar Maple_44.606267_-75.167331_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_37",7,
1280,1280,10/11/2016 - 2:24pm,NA,NA,10,10/11/16,285,Fall,Sugar Maple,44.606267,-75.167331,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),37,Early:  Only a few leaves have turned color (less than 10%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,NA,NA,NA,There are holes in this trees leaves.,NA,"NA_10_Sugar Maple_44.606267_-75.167331_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_37",7,
1400,1400,11/01/2016 - 2:23pm,NA,NA,10,11/1/16,306,Fall,Sugar Maple,44.606267,-75.167331,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),37,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,NA,NA,NA,There are holes in this trees leaves.,NA,"NA_10_Sugar Maple_44.606267_-75.167331_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_37",7,
1950,1950,05/05/2016 - 8:32am,CANTONMSASCT,NA,10,5/5/16,126,Spring,Sugar Maple,44.610246,-75.169679,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),32,NA,NA,NA,yes,no,no,CANTONMSASCT,yes,"NA_10_Sugar Maple_44.610246_-75.169679_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_32",8,
2011,2011,05/13/2016 - 8:28am,Canton10CTAS,NA,10,5/13/16,134,Spring,Sugar Maple,44.610246,-75.169679,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),32,NA,NA,NA,yes,yes,no,Canton10CTAS,yes,"NA_10_Sugar Maple_44.610246_-75.169679_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_32",8,
1867,1867,04/21/2016 - 8:41am,Canton10CTAS,NA,10,4/21/16,112,Spring,Sugar Maple,44.610246,-75.169679,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),32,NA,NA,NA,no,no,no,Canton10CTAS,Yes,"NA_10_Sugar Maple_44.610246_-75.169679_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Shaded (less than 2hr per day of direct sun)_32",8,
2057,2057,05/23/2016 - 8:29am,Canton10CTAS,NA,10,5/23/16,144,Spring,Sugar Maple,44.610246,-75.169679,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),32,NA,NA,NA,yes,yes,no,Canton10CTAS,yes,"NA_10_Sugar Maple_44.610246_-75.169679_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Shaded (less than 2hr per day of direct sun)_32",8,
773,773,10/08/2015 - 8:29am,NA,NA,10,10/8/15,281,Fall,Sugar Maple,44.610246,-75.169679,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),31,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,NA,NA,NA,NA,NA,"NA_10_Sugar Maple_44.610246_-75.169679_Yes_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_31",8,
836,836,10/19/2015 - 8:31am,NA,NA,10,10/19/15,292,Fall,Sugar Maple,44.610246,-75.169679,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),31,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,NA,NA,NA,NA,"Was rubbed by deer antlers or was hit by a falling tree. Also, has a 5 inch scratch.","NA_10_Sugar Maple_44.610246_-75.169679_Yes_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_31",8,
933,933,10/28/2015 - 8:32am,NA,NA,10,10/28/15,301,Fall,Sugar Maple,44.610246,-75.169679,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),31,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,NA,NA,NA,NA,NA,"NA_10_Sugar Maple_44.610246_-75.169679_Yes_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Shaded (less than 2hr per day of direct sun)_31",8,
1023,1023,09/21/2016 - 8:41am,NA,NA,10,9/21/16,265,Fall,Sugar Maple,44.610246,-75.16979,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),38,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,NA,NA,NA,None that are visible at the time.,NA,"NA_10_Sugar Maple_44.610246_-75.16979_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_38",8,
1401,1401,11/01/2016 - 8:28am,NA,NA,10,11/1/16,306,Fall,Sugar Maple,44.61138,-75.1,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),38,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,NA,NA,NA,None,never tapped,"NA_10_Sugar Maple_44.61138_-75.1_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_38",8,
694,694,10/02/2015 - 8:37am,NA,NA,11,10/2/15,275,Fall,Sugar Maple,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),34,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,NA,NA,NA,missing branches,some moss,"NA_11_Sugar Maple_44.61138_-75.169582_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_34",9,
774,774,10/08/2015 - 8:30am,NA,NA,11,10/8/15,281,Fall,Sugar Maple,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),34,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,NA,NA,NA,missing branches,NA,"NA_11_Sugar Maple_44.61138_-75.169582_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_34",9,
982,982,11/06/2015 - 8:48am,NA,NA,11,11/6/15,310,Fall,Sugar Maple,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),34,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,NA,NA,NA,missing branches,NA,"NA_11_Sugar Maple_44.61138_-75.169582_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_34",9,
1016,1016,09/21/2016 - 8:43am,NA,NA,11,9/21/16,265,Fall,Sugar Maple,44.611449,-75.169152,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),35,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,NA,NA,NA,None,NA,"NA_11_Sugar Maple_44.611449_-75.169152_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Open (more than 5hr per day of direct sun)_35",9,
1393,1393,11/01/2016 - 9:21am,NA,NA,11,11/1/16,306,Fall,Sugar Maple,44.611452,-75.169535,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),31,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,NA,NA,NA,none,NA,"NA_11_Sugar Maple_44.611452_-75.169535_Yes_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Open (more than 5hr per day of direct sun)_31",9,
837,837,10/19/2015 - 8:31am,NA,NA,12,10/19/15,292,Fall,Sugar Maple,44.344,-75.157,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),20,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,NA,NA,NA,none,NA,"NA_12_Sugar Maple_44.344_-75.157_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_20",10,
695,695,10/02/2015 - 8:37am,NA,NA,12,10/2/15,275,Fall,Sugar Maple,44.344,-75.157,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),24,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,NA,NA,NA,NA,some moss,"NA_12_Sugar Maple_44.344_-75.157_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_24",10,
775,775,10/08/2015 - 8:31am,NA,NA,12,10/8/15,281,Fall,Sugar Maple,44.344,-75.157,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),24,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,NA,NA,NA,None,LUXA,"NA_12_Sugar Maple_44.344_-75.157_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_24",10,
983,983,11/06/2015 - 8:40am,NA,NA,12,11/6/15,310,Fall,Sugar Maple,44.344,-75.157,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),24,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,NA,NA,NA,none,NA,"NA_12_Sugar Maple_44.344_-75.157_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_24",10,
1866,1866,04/21/2016 - 8:40am,Canton 12 NW,NA,12,4/21/16,112,Spring,Sugar Maple,44.344,-75.157,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),24,NA,NA,NA,no,no,no,Canton 12 NW,yes,"NA_12_Sugar Maple_44.344_-75.157_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_24",10,
1948,1948,05/05/2016 - 8:31am,Canton 12 NW,NA,12,5/5/16,126,Spring,Sugar Maple,44.344,-75.157,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),24.125,NA,NA,NA,yes,no,no,Canton 12 NW,Yes,"NA_12_Sugar Maple_44.344_-75.157_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_24.125",10,
2009,2009,05/13/2016 - 8:28am,Canton 12 NW,NA,12,5/13/16,134,Spring,Sugar Maple,44.344,-75.157,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),24.125,NA,NA,NA,yes,yes,no,Canton 12 NW,yes,"NA_12_Sugar Maple_44.344_-75.157_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_24.125",10,
2060,2060,05/23/2016 - 8:31am,Canton 12 NW,NA,12,5/23/16,144,Spring,Sugar Maple,44.344,-75.157,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),24.125,NA,NA,NA,yes,yes,no,Canton 12 NW,yes,"NA_12_Sugar Maple_44.344_-75.157_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_24.125",10,
1142,1142,09/26/2016 - 9:27am,NA,NA,12,9/26/16,270,Fall,Sugar Maple,44.611477,-75.169512,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),24,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,NA,NA,NA,NA,NA,"NA_12_Sugar Maple_44.611477_-75.169512_Yes_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_24",10,
1281,1281,10/11/2016 - 9:23am,NA,NA,12,10/11/16,285,Fall,Sugar Maple,44.611477,-75.169512,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),24,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),NA,NA,NA,NA,NA,"NA_12_Sugar Maple_44.611477_-75.169512_Yes_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_24",10,
