"","Serial","Time","Username","Observer","Tree ID","Date","Date_1","Julian","Season","Species","Latitude","Longitude","Urbanization","Habitat","Shading","Circumference","Flowering","Damage","Comments","UniqueID"
"11",11,"09/19/2013 - 11:36am",NA,NA,NA,2013-09-19,"9/19/13",262,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,NA,"None","low branch","NA_NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA"
"12",12,"09/19/2013 - 4:16pm",NA,NA,NA,2013-09-19,"9/19/13",262,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,NA,"Tree appears to be in good health.  There are early signs of some rot in the trunk.",NA,"NA_NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA"
"13",13,"09/19/2013 - 4:26pm",NA,NA,NA,2013-09-19,"9/19/13",262,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,NA,NA,NA,"NA_NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA"
"14",14,"09/20/2013 - 10:03am",NA,NA,NA,2013-09-20,"9/20/13",263,"Fall",NA,NA,NA,"Yes","Home lawn","Open (more than 5hr per day of direct sun)",NA,NA,"none",NA,"NA_NA_NA_NA_Yes_Home lawn_Open (more than 5hr per day of direct sun)_NA"
"15",15,"09/20/2013 - 10:19am",NA,NA,NA,2013-09-20,"9/20/13",263,"Fall",NA,NA,NA,"Yes","School garden","Open (more than 5hr per day of direct sun)",NA,NA,"N/A",NA,"NA_NA_NA_NA_Yes_School garden_Open (more than 5hr per day of direct sun)_NA"
"16",16,"09/21/2013 - 3:00pm",NA,NA,NA,2013-09-21,"9/21/13",264,"Fall",NA,NA,NA,"Yes","School garden","Open (more than 5hr per day of direct sun)",NA,NA,"None.","lower branch","NA_NA_NA_NA_Yes_School garden_Open (more than 5hr per day of direct sun)_NA"
"17",17,"11/11/2013 - 1:44pm",NA,NA,NA,2013-11-11,"11/11/13",315,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,NA,NA,NA,"NA_NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA"
"18",18,"09/20/2013 - 9:02am",NA,NA,NA,2013-09-20,"9/20/13",263,"Fall",NA,NA,NA,"Yes","School paved area","Open (more than 5hr per day of direct sun)",NA,NA,"None",NA,"NA_NA_NA_NA_Yes_School paved area_Open (more than 5hr per day of direct sun)_NA"
"19",19,"09/20/2013 - 2:45pm",NA,NA,NA,2013-09-20,"9/20/13",263,"Fall",NA,NA,NA,"Yes","Home lawn","Partially Shaded (2-5hr per day of direct sun)",NA,NA,"Some crotch splitting and many woodpecker holes in a couple of main branches. Several branches cut due to powerlines. Most all limbs still seem viable.","Mystery tree on it.","NA_NA_NA_NA_Yes_Home lawn_Partially Shaded (2-5hr per day of direct sun)_NA"
"20",20,"09/21/2013 - 12:47pm",NA,NA,NA,2013-09-21,"9/21/13",264,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,NA,"None.",NA,"NA_NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA"
"21",21,"09/23/2013 - 12:17pm",NA,NA,NA,2013-09-23,"9/23/13",266,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,NA,"Some of the branches are in direct contact with a power line.",NA,"NA_NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA"
"22",22,"09/23/2013 - 12:56pm",NA,NA,NA,2013-09-23,"9/23/13",266,"Fall",NA,NA,NA,"Yes","Home lawn","Open (more than 5hr per day of direct sun)",NA,NA,"seems to have spots on the leaves",NA,"NA_NA_NA_NA_Yes_Home lawn_Open (more than 5hr per day of direct sun)_NA"
"23",23,"09/23/2013 - 11:58am",NA,NA,NA,2013-09-23,"9/23/13",266,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,NA,"Missing limbs, but they look like they've been trimmed off. Therefore, it's uncertain if they were removed because of disease or for aesthetic and/or safety purposes.",NA,"NA_NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA"
"24",24,"09/23/2013 - 1:10am",NA,NA,NA,2013-09-23,"9/23/13",266,"Fall",NA,NA,NA,"Yes","School paved area","Open (more than 5hr per day of direct sun)",NA,NA,"N/A",NA,"NA_NA_NA_NA_Yes_School paved area_Open (more than 5hr per day of direct sun)_NA"
"25",25,"09/23/2013 - 8:45am",NA,NA,NA,2013-09-23,"9/23/13",266,"Fall",NA,NA,NA,"Yes","School paved area","Open (more than 5hr per day of direct sun)",NA,NA,"Small amount of lichen on trunk.",NA,"NA_NA_NA_NA_Yes_School paved area_Open (more than 5hr per day of direct sun)_NA"
"26",26,"09/23/2013 - 12:52pm",NA,NA,NA,2013-09-23,"9/23/13",266,"Fall",NA,NA,NA,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",NA,NA,NA,NA,"NA_NA_NA_NA_Yes_School lawn_Partially Shaded (2-5hr per day of direct sun)_NA"
"27",27,"09/23/2013 - 11:34am",NA,NA,NA,2013-09-23,"9/23/13",266,"Fall",NA,NA,NA,"Yes","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Shaded (less than 2hr per day of direct sun)",NA,NA,"The tree is healthy, though there are no close branches to the ground.",NA,"NA_NA_NA_NA_Yes_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Shaded (less than 2hr per day of direct sun)_NA"
"28",28,"09/24/2014 - 8:37am",NA,NA,NA,2014-09-24,"9/24/14",267,"Fall","Sugar Maple",NA,NA,"No","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Partially Shaded (2-5hr per day of direct sun)",NA,NA,NA,NA,"NA_Sugar Maple_NA_NA_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_NA"
"29",29,"09/27/2013 - 1:59pm",NA,NA,NA,2013-09-27,"9/27/13",270,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,NA,"no apparent damage",NA,"NA_NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA"
"30",30,"09/28/2013 - 5:19pm",NA,NA,NA,2013-09-28,"9/28/13",271,"Fall",NA,NA,NA,"Yes","Home lawn","Open (more than 5hr per day of direct sun)",NA,NA,NA,NA,"NA_NA_NA_NA_Yes_Home lawn_Open (more than 5hr per day of direct sun)_NA"
"31",31,"10/08/2013 - 10:37pm",NA,NA,NA,2013-10-08,"10/8/13",281,"Fall",NA,NA,NA,"Yes","School paved area","Partially Shaded (2-5hr per day of direct sun)",NA,NA,"none",NA,"NA_NA_NA_NA_Yes_School paved area_Partially Shaded (2-5hr per day of direct sun)_NA"
"32",32,"10/01/2013 - 1:14pm",NA,NA,NA,2013-10-01,"10/1/13",274,"Fall",NA,NA,NA,"Yes","School paved area","Open (more than 5hr per day of direct sun)",NA,NA,"some lichen on trunk. noticed one area of tree trunk with bark missing and small hole/damage.",NA,"NA_NA_NA_NA_Yes_School paved area_Open (more than 5hr per day of direct sun)_NA"
"33",33,"10/01/2013 - 2:26pm",NA,NA,NA,2013-10-01,"10/1/13",274,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,NA,"Missing limbs, but they look like they've been trimmed off. Therefore, it's uncertain if they were removed because of disease or for aesthetic and/or safety purposes.",NA,"NA_NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA"
"34",34,"11/11/2013 - 1:47pm",NA,NA,NA,2013-11-11,"11/11/13",315,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,NA,NA,NA,"NA_NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA"
"35",35,"10/02/2013 - 10:04am",NA,NA,NA,2013-10-02,"10/2/13",275,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,NA,"none","Jake is so cool!

","NA_NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA"
"36",36,"10/06/2013 - 5:45pm",NA,NA,NA,2013-10-06,"10/6/13",279,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,NA,"Nest to telephone wire/pole.",NA,"NA_NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA"
"37",37,"10/03/2013 - 6:56pm",NA,NA,NA,2013-10-03,"10/3/13",276,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,NA,"none observed",NA,"NA_NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA"
"38",38,"10/07/2013 - 10:15am",NA,NA,NA,2013-10-07,"10/7/13",280,"Fall",NA,NA,NA,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",NA,NA,"None",NA,"NA_NA_NA_NA_Yes_School lawn_Partially Shaded (2-5hr per day of direct sun)_NA"
"39",39,"10/07/2013 - 4:23pm",NA,NA,NA,2013-10-07,"10/7/13",280,"Fall",NA,NA,NA,"Yes","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Shaded (less than 2hr per day of direct sun)",NA,NA,"No disease or damage.",NA,"NA_NA_NA_NA_Yes_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Shaded (less than 2hr per day of direct sun)_NA"
"40",40,"10/21/2013 - 8:19am",NA,NA,NA,2013-10-21,"10/21/13",294,"Fall",NA,NA,NA,"Yes","Home lawn","Open (more than 5hr per day of direct sun)",NA,NA,NA,NA,"NA_NA_NA_NA_Yes_Home lawn_Open (more than 5hr per day of direct sun)_NA"
"41",41,"10/08/2013 - 7:34am",NA,NA,NA,2013-10-08,"10/8/13",281,"Fall",NA,NA,NA,"Yes","Home lawn","Partially Shaded (2-5hr per day of direct sun)",NA,NA,NA,NA,"NA_NA_NA_NA_Yes_Home lawn_Partially Shaded (2-5hr per day of direct sun)_NA"
"42",42,"11/06/2013 - 6:46pm",NA,NA,NA,2013-11-06,"11/6/13",310,"Fall",NA,NA,NA,"Yes","Home lawn","Partially Shaded (2-5hr per day of direct sun)",NA,NA,"There are a lot of spots,especially dark shaded spots all along the left hand side of the tree.","Jake is so cool!!!!!!","NA_NA_NA_NA_Yes_Home lawn_Partially Shaded (2-5hr per day of direct sun)_NA"
"43",43,"10/15/2013 - 11:21pm",NA,NA,NA,2013-10-15,"10/15/13",288,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,NA,"None.","Jake is so cool!!!!!!","NA_NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA"
"44",44,"10/08/2013 - 9:17am",NA,NA,NA,2013-10-08,"10/8/13",281,"Fall",NA,NA,NA,"Yes","School paved area","Open (more than 5hr per day of direct sun)",NA,NA,"Some lichen on trunk. Small hole near base of trunk with missing bark.","Jake is so cool!!!!!!","NA_NA_NA_NA_Yes_School paved area_Open (more than 5hr per day of direct sun)_NA"
"45",45,"10/09/2013 - 10:03am",NA,NA,NA,2013-10-09,"10/9/13",282,"Fall",NA,NA,NA,"Yes","Home lawn","Open (more than 5hr per day of direct sun)",NA,NA,"There is some disease along the trunk and there is a large hole from rot halfway up one of the split trunks. There are also a few places where branches have been cut or have broken off","Jake is so cool!!!!!!","NA_NA_NA_NA_Yes_Home lawn_Open (more than 5hr per day of direct sun)_NA"
"46",46,"09/17/2013 - 3:11pm",NA,NA,NA,2013-09-17,"9/17/13",260,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,NA,"None","Jake is so cool!!!!!!","NA_NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA"
"47",47,"10/23/2013 - 10:08am",NA,NA,NA,2013-10-23,"10/23/13",296,"Fall",NA,NA,NA,"Yes","Home lawn","Partially Shaded (2-5hr per day of direct sun)",NA,NA,"No visible damages.","Jake is so cool!!!!!!","NA_NA_NA_NA_Yes_Home lawn_Partially Shaded (2-5hr per day of direct sun)_NA"
"48",48,"10/13/2013 - 10:57am",NA,NA,NA,2013-10-13,"10/13/13",286,"Fall",NA,NA,NA,"Yes","School paved area","Open (more than 5hr per day of direct sun)",NA,NA,"None visible.","Jake is so cool!!!!!!","NA_NA_NA_NA_Yes_School paved area_Open (more than 5hr per day of direct sun)_NA"
"49",49,"10/13/2013 - 2:13pm",NA,NA,NA,2013-10-13,"10/13/13",286,"Fall",NA,NA,NA,"Yes","Home lawn","Partially Shaded (2-5hr per day of direct sun)",NA,NA,NA,"Jake is so cool!!!!!!","NA_NA_NA_NA_Yes_Home lawn_Partially Shaded (2-5hr per day of direct sun)_NA"
"50",50,"10/21/2013 - 8:24am",NA,NA,NA,2013-10-21,"10/21/13",294,"Fall",NA,NA,NA,"Yes","Home lawn","Open (more than 5hr per day of direct sun)",NA,NA,NA,"Jake is so cool!!!!!!","NA_NA_NA_NA_Yes_Home lawn_Open (more than 5hr per day of direct sun)_NA"
"51",51,"10/14/2013 - 1:46pm",NA,NA,NA,2013-10-14,"10/14/13",287,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,NA,"no apparent damage","Jake is so cool!!!!!!","NA_NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA"
"52",52,"10/27/2013 - 1:03pm",NA,NA,NA,2013-10-27,"10/27/13",300,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,NA,"There are some missing limbs - appears that they were cut of (by the university?). A slight ""split"" in the trunk. It's external, and appears healed (maybe?).","Jake is so cool!!!!!!","NA_NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA"
"53",53,"10/15/2013 - 12:47pm",NA,NA,NA,2013-10-15,"10/15/13",288,"Fall",NA,NA,NA,"Yes","School paved area","Open (more than 5hr per day of direct sun)",NA,NA,"some lichen on trunk. near bottom of trunk is a small hole and the bark surrounding is missing.","Jake is so cool!!!!!!","NA_NA_NA_NA_Yes_School paved area_Open (more than 5hr per day of direct sun)_NA"
"54",54,"10/15/2013 - 7:15pm",NA,NA,NA,2013-10-15,"10/15/13",288,"Fall",NA,NA,NA,"Yes","School garden","Open (more than 5hr per day of direct sun)",NA,NA,"Nothing new.","Jake is so cool!!!!!!","NA_NA_NA_NA_Yes_School garden_Open (more than 5hr per day of direct sun)_NA"
"55",55,"10/15/2013 - 8:19pm",NA,NA,NA,2013-10-15,"10/15/13",288,"Fall",NA,NA,NA,"No","School lawn","Partially Shaded (2-5hr per day of direct sun)",NA,NA,NA,"Jake is so cool!!!!!!","NA_NA_NA_NA_No_School lawn_Partially Shaded (2-5hr per day of direct sun)_NA"
"56",56,"10/16/2013 - 9:01am",NA,NA,NA,2013-10-16,"10/16/13",289,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,NA,"Tree appears to be in good health. There are early signs of some rot in the trunk.","Jake is so cool!!!!!!","NA_NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA"
"57",57,"10/21/2013 - 12:56pm",NA,NA,NA,2013-10-21,"10/21/13",294,"Fall",NA,NA,NA,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",NA,NA,NA,"Jake is so cool!!!!!!","NA_NA_NA_NA_Yes_School lawn_Partially Shaded (2-5hr per day of direct sun)_NA"
"58",58,"10/27/2013 - 1:09pm",NA,NA,NA,2013-10-27,"10/27/13",300,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,NA,"There are some missing limbs - appears that they were cut of (by the university?). A slight ""split"" in the trunk. It's external, and appears healed (maybe?).","Jake is so cool!!!!!!","NA_NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA"
"59",59,"10/21/2013 - 8:27am",NA,NA,NA,2013-10-21,"10/21/13",294,"Fall",NA,NA,NA,"Yes","Home lawn","Open (more than 5hr per day of direct sun)",NA,NA,NA,"Jake is so cool!!!!!!","NA_NA_NA_NA_Yes_Home lawn_Open (more than 5hr per day of direct sun)_NA"
"60",60,"10/21/2013 - 8:36pm",NA,NA,NA,2013-10-21,"10/21/13",294,"Fall",NA,NA,NA,"Yes","School paved area","Open (more than 5hr per day of direct sun)",NA,NA,"Nothing new.","Jake is so cool!!!!!!","NA_NA_NA_NA_Yes_School paved area_Open (more than 5hr per day of direct sun)_NA"
"61",61,"10/22/2013 - 9:02am",NA,NA,NA,2013-10-22,"10/22/13",295,"Fall",NA,NA,NA,"Yes","School paved area","Open (more than 5hr per day of direct sun)",NA,NA,"some lichen on bark. small hole near base of trunk with bark missing.","Jake is so cool!!!!!!","NA_NA_NA_NA_Yes_School paved area_Open (more than 5hr per day of direct sun)_NA"
"62",62,"10/22/2013 - 7:10pm",NA,NA,NA,2013-10-22,"10/22/13",295,"Fall",NA,NA,NA,"Yes","Home lawn","Partially Shaded (2-5hr per day of direct sun)",NA,NA,NA,"Jake is so cool!!!!!!","NA_NA_NA_NA_Yes_Home lawn_Partially Shaded (2-5hr per day of direct sun)_NA"
"63",63,"10/23/2013 - 10:10am",NA,NA,NA,2013-10-23,"10/23/13",296,"Fall",NA,NA,NA,"Yes","Home lawn","Partially Shaded (2-5hr per day of direct sun)",NA,NA,"No visible damages","Jake is so cool!!!!!!","NA_NA_NA_NA_Yes_Home lawn_Partially Shaded (2-5hr per day of direct sun)_NA"
"64",64,"10/24/2013 - 11:00am",NA,NA,NA,2013-10-24,"10/24/13",297,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,NA,"no apparent damage","Jake is so cool!!!!!!","NA_NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA"
"65",65,"12/02/2013 - 9:58am",NA,NA,NA,2013-12-02,"12/2/13",336,"Fall",NA,NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,NA,"None.","Jake is so cool!!!!!!","NA_NA_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA"
"66",66,"10/10/2014 - 12:59pm",NA,NA,NA,2014-10-10,"10/10/14",283,"Fall","Sugar Maple",NA,NA,"No","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Partially Shaded (2-5hr per day of direct sun)",NA,NA,"few damage lost branches","Jake is so cool!!!!!!","NA_Sugar Maple_NA_NA_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_NA"
"67",67,"09/03/2014 - 11:54am",NA,NA,NA,2014-09-03,"9/3/14",246,"Fall","Sugar Maple",NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,NA,"none","Jake is so cool!!!!!!","NA_Sugar Maple_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA"
"68",68,"09/03/2014 - 11:55am",NA,NA,NA,2014-09-03,"9/3/14",246,"Fall","Sugar Maple",NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,NA,NA,"Jake is so cool!!!!!!","NA_Sugar Maple_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA"
"69",69,"09/03/2014 - 11:57am",NA,NA,NA,2014-09-03,"9/3/14",246,"Fall","Sugar Maple",NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,NA,"For the most part, the tree is very healthy! However, there is a slight decrease in foliage at the very top. And it's turning slightly yellow at the top.","Jake is so cool!!!!!!","NA_Sugar Maple_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA"
"70",70,"09/03/2014 - 11:59am",NA,NA,NA,2014-09-03,"9/3/14",246,"Fall","Sugar Maple",NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,NA,NA,"Jake is so cool!!!!!!","NA_Sugar Maple_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA"
"71",71,"09/03/2014 - 11:59am",NA,NA,NA,2014-09-03,"9/3/14",246,"Fall","Sugar Maple",NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,NA,NA,"Jake is so cool!!!!!!","NA_Sugar Maple_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA"
"72",72,"09/03/2014 - 12:00pm",NA,NA,NA,2014-09-03,"9/3/14",246,"Fall","Sugar Maple",NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,NA,"No","Jake is so cool!!!!!!","NA_Sugar Maple_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA"
"73",73,"09/03/2014 - 12:15pm",NA,NA,NA,2014-09-03,"9/3/14",246,"Fall","Sugar Maple",NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,NA,"Some leaves at the top are falling/turning, a few small branches are bare","Jake is so cool!!!!!!","NA_Sugar Maple_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA"
"74",74,"09/03/2014 - 11:52am",NA,NA,NA,2014-09-03,"9/3/14",246,"Fall","Sugar Maple",NA,NA,"Yes","School garden","Partially Shaded (2-5hr per day of direct sun)",NA,NA,NA,"Jake is so cool!!!!!!","NA_Sugar Maple_NA_NA_Yes_School garden_Partially Shaded (2-5hr per day of direct sun)_NA"
"75",75,"09/03/2014 - 11:53am",NA,NA,NA,2014-09-03,"9/3/14",246,"Fall","Sugar Maple",NA,NA,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",NA,NA,"None","Jake is so cool!!!!!!","NA_Sugar Maple_NA_NA_Yes_School lawn_Partially Shaded (2-5hr per day of direct sun)_NA"
"76",76,"09/03/2014 - 11:53am",NA,NA,NA,2014-09-03,"9/3/14",246,"Fall","Sugar Maple",NA,NA,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",NA,NA,"None","Jake is so cool!!!!!!","NA_Sugar Maple_NA_NA_Yes_School lawn_Partially Shaded (2-5hr per day of direct sun)_NA"
"77",77,"09/03/2014 - 11:54am",NA,NA,NA,2014-09-03,"9/3/14",246,"Fall","Sugar Maple",NA,NA,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",NA,NA,"None!","Jake is so cool!!!!!!","NA_Sugar Maple_NA_NA_Yes_School lawn_Partially Shaded (2-5hr per day of direct sun)_NA"
"78",78,"09/03/2014 - 11:54am",NA,NA,NA,2014-09-03,"9/3/14",246,"Fall","Sugar Maple",NA,NA,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",NA,NA,"Not too much damage done to the tree - looks fairly healthy","Jake is so cool!!!!!!","NA_Sugar Maple_NA_NA_Yes_School lawn_Partially Shaded (2-5hr per day of direct sun)_NA"
"79",79,"10/23/2014 - 2:30pm",NA,NA,NA,2014-10-23,"10/23/14",296,"Fall","Norway Maple",NA,NA,"Yes","Home lawn","Open (more than 5hr per day of direct sun)",NA,NA,"One major limb broken in windstorm.","Jake is so cool!!!!!!","NA_Norway Maple_NA_NA_Yes_Home lawn_Open (more than 5hr per day of direct sun)_NA"
"80",80,"09/11/2014 - 11:49am",NA,NA,NA,2014-09-11,"9/11/14",254,"Fall","Sugar Maple",NA,NA,"Yes","Home lawn","Open (more than 5hr per day of direct sun)",NA,NA,NA,"Jake is so cool!!!!!!","NA_Sugar Maple_NA_NA_Yes_Home lawn_Open (more than 5hr per day of direct sun)_NA"
"81",81,"09/11/2014 - 10:25am",NA,NA,NA,2014-09-11,"9/11/14",254,"Fall","Silver Maple",NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,NA,NA,"Jake is so cool!!!!!!","NA_Silver Maple_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA"
"82",82,"09/11/2014 - 2:25pm",NA,NA,NA,2014-09-11,"9/11/14",254,"Fall","Silver Maple",NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,NA,"Cracks at base of tree.","Jake is so cool!!!!!!","NA_Silver Maple_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA"
